state,date,warning_type,warning
AZ,2021-01-22,NA,"- Different types for column `State`: character vs character
"
AZ,2021-01-13,no match,ICE CCA FLORENCE CORRECTIONAL CENTER
AZ,2021-01-13,no match,ICE ELOY FEDERAL CONTRACT FACILITY
AZ,2021-01-13,no match,ICE FLORENCE SERVICE PROCESSING CENTER
AZ,2021-01-13,no match,ICE LA PALMA CORRECTIONAL CENTER
AZ,2021-01-13,no match,ICE SAN LUIS REGIONAL DETENTION CENTER
CA,2021-01-22,NA,"- Different types for column `State`: character vs character
"
CA,2021-01-20,no match,ALMEDA COUNTY
CA,2021-01-20,no match,FRESNO COUNTY
CA,2021-01-20,no match,HUMBOLDT COUNTY
CA,2021-01-20,no match,IMPERIAL COUNTY
CA,2021-01-20,no match,KERN COUNTY
CA,2021-01-20,no match,LOS ANGELES COUNTY
CA,2021-01-20,no match,MENDOCINO COUNTY
CA,2021-01-20,no match,MERCED COUNTY
CA,2021-01-20,no match,MONTEREY COUNTY
CA,2021-01-20,no match,ORANGE COUNTY
CA,2021-01-20,no match,RIVERSIDE COUNTY
CA,2021-01-20,no match,SACRAMENTO COUNTY
CA,2021-01-20,no match,SAN BERNARDINO COUNTY
CA,2021-01-20,no match,SAN DIEGO COUNTY
CA,2021-01-20,no match,SAN FRANCISCO COUNTY
CA,2021-01-20,no match,SAN JOAQUIN COUNTY
CA,2021-01-20,no match,SAN LUIS OBISPO COUNTY
CA,2021-01-20,no match,SAN MATEO COUNTY
CA,2021-01-20,no match,SANTA BARBARA COUNTY
CA,2021-01-20,no match,SANTA CLARA COUNTY
CA,2021-01-20,no match,SOLANO COUNTY
CA,2021-01-20,no match,STANISLAUS COUNTY
CA,2021-01-20,no match,TULARE COUNTY
CA,2021-01-20,no match,VENTURA COUNTY
CA,2021-01-20,no match,YOLO COUNTY
CA,2021-01-13,no match,ADELANTO ICE PROCESSING CENTER
CA,2021-01-13,no match,ALAMEDA COUNTY
CA,2020-11-12,no match,CDCRCCHCS WORKSITE LOCATION FRESNO COUNTY
CA,2020-11-12,no match,CDCRCCHCS WORKSITE LOCATION IMPERIAL COUNTY
CA,2020-12-25,no match,CDCRCCHCS WORKSITE LOCATION KERN COUNTY
CA,2020-11-12,no match,CDCRCCHCS WORKSITE LOCATION MENDOCINO COUNTY
CA,2020-11-12,no match,CDCRCCHCS WORKSITE LOCATION ORANGE COUNTY
CA,2020-11-12,no match,CDCRCCHCS WORKSITE LOCATION SAN LUIS OBISPO COUNTY
CA,2020-11-12,no match,CDCRCCHCS WORKSITE LOCATION SANTA CLARA COUNTY
